Team,Anzahl Win
Brazil,73
Italy,45
Argentina,43
West Germany,36
France,34
Germany,31
Spain,30
England,29
Netherlands,27
Uruguay,24
Belgium,20
Sweden,19
Mexico,16
Poland,16
Hungary,15
Soviet Union,15
Yugoslavia,14
Portugal,14
Austria,12
Switzerland,12
Chile,11
Czechoslovakia,11
Croatia,11
Denmark,9
Colombia,9
Romania,8
United States,8
Paraguay,7
Nigeria,6
South Korea,6
Costa Rica,5
Japan,5
Turkey,5
Peru,5
Scotland,4
Russia,4
Ecuador,4
Cameroon,4
Ghana,4
Bulgaria,3
Saudi Arabia,3
Ivory Coast,3
Northern Ireland,3
Algeria,3
Senegal,3
East Germany,2
Tunisia,2
Morocco,2
Republic of Ireland,2
Ukraine,2
Australia,2
Serbia,2
Norway,2
FR Yugoslavia,2
Iran,2
South Africa,2
Greece,2
Cuba,1
Czech Republic,1
Slovakia,1
HomeTeam,1
Wales,1
North Korea,1
Jamaica,1
Slovenia,1
Bosnia and Herzegovina,1
